filename,R,G,B,skin_tone,season,recommended_palette
WhatsApp Image 2025-04-21 at 12.36.54.jpeg,98,85,88,cool,Cool Winter,"Jewel Tones, Fuchsia, Icy Blue, Charcoal"
WhatsApp Image 2025-04-21 at 12.36.55.jpeg,114,103,107,cool,Cool Winter,"Jewel Tones, Fuchsia, Icy Blue, Charcoal"
WhatsApp Image 2025-04-21 at 12.37.07 (2).jpeg,126,104,92,cool,Cool Winter,"Jewel Tones, Fuchsia, Icy Blue, Charcoal"
WhatsApp Image 2025-04-21 at 12.37.03.jpeg,174,156,146,cool,Cool Summer,"Rose Pink, Lavender, Sky Blue, Dusty Lilac"
WhatsApp Image 2025-04-21 at 12.36.57 (1).jpeg,145,137,129,cool,Cool Winter,"Jewel Tones, Fuchsia, Icy Blue, Charcoal"
WhatsApp Image 2025-04-21 at 12.36.56 (1).jpeg,170,145,131,cool,Cool Summer,"Rose Pink, Lavender, Sky Blue, Dusty Lilac"
WhatsApp Image 2025-04-21 at 12.36.55 (2).jpeg,98,87,88,cool,Cool Winter,"Jewel Tones, Fuchsia, Icy Blue, Charcoal"
WhatsApp Image 2025-04-21 at 12.36.56.jpeg,118,104,84,cool,Cool Winter,"Jewel Tones, Fuchsia, Icy Blue, Charcoal"
WhatsApp Image 2025-04-21 at 12.37.04 (1).jpeg,165,155,154,cool,Cool Summer,"Rose Pink, Lavender, Sky Blue, Dusty Lilac"
WhatsApp Image 2025-04-21 at 12.36.53 (1).jpeg,154,137,126,cool,Cool Winter,"Jewel Tones, Fuchsia, Icy Blue, Charcoal"
WhatsApp Image 2025-04-21 at 12.36.52 (1).jpeg,165,155,151,cool,Cool Summer,"Rose Pink, Lavender, Sky Blue, Dusty Lilac"
WhatsApp Image 2025-04-21 at 12.36.57.jpeg,81,74,70,cool,Cool Winter,"Jewel Tones, Fuchsia, Icy Blue, Charcoal"
WhatsApp Image 2025-04-21 at 12.36.49 (2).jpeg,175,160,162,cool,Cool Summer,"Rose Pink, Lavender, Sky Blue, Dusty Lilac"
WhatsApp Image 2025-04-21 at 12.36.48 (2).jpeg,126,122,118,cool,Cool Winter,"Jewel Tones, Fuchsia, Icy Blue, Charcoal"
WhatsApp Image 2025-04-21 at 12.36.50.jpeg,136,128,126,cool,Cool Winter,"Jewel Tones, Fuchsia, Icy Blue, Charcoal"
WhatsApp Image 2025-04-21 at 12.36.54 (1).jpeg,137,132,130,cool,Cool Winter,"Jewel Tones, Fuchsia, Icy Blue, Charcoal"
WhatsApp Image 2025-04-21 at 12.36.55 (1).jpeg,163,151,154,cool,Cool Summer,"Rose Pink, Lavender, Sky Blue, Dusty Lilac"
WhatsApp Image 2025-04-21 at 12.36.46.jpeg,143,132,128,cool,Cool Winter,"Jewel Tones, Fuchsia, Icy Blue, Charcoal"
WhatsApp Image 2025-04-21 at 12.37.06.jpeg,199,185,166,cool,Cool Summer,"Rose Pink, Lavender, Sky Blue, Dusty Lilac"
cool13.png,139,123,114,cool,Cool Winter,"Jewel Tones, Fuchsia, Icy Blue, Charcoal"
WhatsApp Image 2025-04-21 at 12.37.05 (2).jpeg,157,154,150,cool,Cool Summer,"Rose Pink, Lavender, Sky Blue, Dusty Lilac"
WhatsApp Image 2025-04-21 at 12.37.04 (2).jpeg,173,158,152,cool,Cool Summer,"Rose Pink, Lavender, Sky Blue, Dusty Lilac"
cool7.jpeg,73,67,72,cool,Cool Winter,"Jewel Tones, Fuchsia, Icy Blue, Charcoal"
cool12.png,137,119,119,cool,Cool Winter,"Jewel Tones, Fuchsia, Icy Blue, Charcoal"
cool6.jpeg,127,106,100,cool,Cool Winter,"Jewel Tones, Fuchsia, Icy Blue, Charcoal"
cool16.jpg,173,135,121,cool,Cool Winter,"Jewel Tones, Fuchsia, Icy Blue, Charcoal"
WhatsApp Image 2025-04-21 at 12.36.53 (2).jpeg,76,67,63,cool,Cool Winter,"Jewel Tones, Fuchsia, Icy Blue, Charcoal"
WhatsApp Image 2025-04-21 at 12.37.08 (1).jpeg,116,87,80,cool,Cool Winter,"Jewel Tones, Fuchsia, Icy Blue, Charcoal"
WhatsApp Image 2025-04-21 at 12.36.52 (2).jpeg,163,151,148,cool,Cool Summer,"Rose Pink, Lavender, Sky Blue, Dusty Lilac"
cool17.png,196,170,164,cool,Cool Summer,"Rose Pink, Lavender, Sky Blue, Dusty Lilac"
cool15.png,141,117,101,cool,Cool Winter,"Jewel Tones, Fuchsia, Icy Blue, Charcoal"
WhatsApp Image 2025-04-21 at 12.37.07.jpeg,144,134,131,cool,Cool Winter,"Jewel Tones, Fuchsia, Icy Blue, Charcoal"
WhatsApp Image 2025-04-21 at 12.36.49 (1).jpeg,151,141,137,cool,Cool Winter,"Jewel Tones, Fuchsia, Icy Blue, Charcoal"
WhatsApp Image 2025-04-21 at 12.36.48 (1).jpeg,163,147,143,cool,Cool Summer,"Rose Pink, Lavender, Sky Blue, Dusty Lilac"
WhatsApp Image 2025-04-21 at 12.36.47.jpeg,153,134,121,cool,Cool Winter,"Jewel Tones, Fuchsia, Icy Blue, Charcoal"
WhatsApp Image 2025-04-21 at 12.36.51.jpeg,133,125,120,cool,Cool Winter,"Jewel Tones, Fuchsia, Icy Blue, Charcoal"
cool14.png,118,94,78,cool,Cool Winter,"Jewel Tones, Fuchsia, Icy Blue, Charcoal"
neutral8.png,145,133,125,neutral,Soft Autumn,"Camel, Warm Taupe, Sage Green, Soft Rust"
neutral4.png,180,131,103,neutral,Soft Autumn,"Camel, Warm Taupe, Sage Green, Soft Rust"
neutral5.png,90,62,53,neutral,Soft Autumn,"Camel, Warm Taupe, Sage Green, Soft Rust"
neutral6.png,141,85,61,neutral,Soft Autumn,"Camel, Warm Taupe, Sage Green, Soft Rust"
neutral2.png,200,158,132,neutral,Soft Summer,"Dusty Rose, Slate Blue, Mauve, Muted Lavender"
neutral3.png,184,135,106,neutral,Soft Autumn,"Camel, Warm Taupe, Sage Green, Soft Rust"
neutral1.png,151,117,98,neutral,Soft Autumn,"Camel, Warm Taupe, Sage Green, Soft Rust"
